Sample_ID	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10
CAM-PYKL-055	0.0087	-0.185	-0.2539	-0.1576	-0.2113	0.3023	-0.0468	0.0137	-0.0907	-0.0756
CAM-PYKL-056	0.0084	-0.1841	-0.2584	-0.1486	-0.2079	0.2976	-0.0745	0.0114	-0.0713	-0.0731
CAM-PYKL-064	0.0081	-0.1838	-0.2567	-0.1422	-0.2069	0.3024	-0.0513	0.0042	-0.0789	-0.0687
CAM-PYKL-075	0.0084	-0.1852	-0.2667	-0.1448	-0.2056	0.3032	-0.042	0.008	-0.0662	-0.0734
CAM-PYKL-076	0.0087	-0.1817	-0.2532	-0.1342	-0.2026	0.2954	-0.0495	-0.0006	-0.0729	-0.0675
CAM-PYKL-078	0.0091	-0.1793	-0.2527	-0.1512	-0.2022	0.2909	-0.0633	0.0252	-0.0883	-0.0798
CAM-PYKL-079	0.0081	-0.1826	-0.2567	-0.1425	-0.2007	0.2996	-0.0467	0.015	-0.0782	-0.0736
CAM-PYKL-080	0.0082	-0.1852	-0.2619	-0.1488	-0.2077	0.3022	-0.044	0.0224	-0.0716	-0.0762
CAM-PYKL-081	0.008	-0.1834	-0.2555	-0.143	-0.1982	0.293	-0.0615	0.0119	-0.0789	-0.077
CAM-PYKL-083	0.0086	-0.1799	-0.2488	-0.1401	-0.202	0.2856	-0.0458	0.0183	-0.0692	-0.0671
CAM-PYKL-085	0.0077	-0.1813	-0.2568	-0.1418	-0.2019	0.2942	-0.0542	0.0074	-0.0612	-0.0673
CAM-PYKL-086	0.008	-0.1811	-0.2526	-0.1394	-0.2006	0.2943	-0.0569	0.0114	-0.074	-0.0743
CAM-PYKL-088	0.009	-0.181	-0.2546	-0.1347	-0.2012	0.2957	-0.0583	0.012	-0.0835	-0.0758
CAM-PYKL-092	0.0084	-0.1811	-0.2541	-0.1378	-0.2023	0.2886	-0.0416	0.0125	-0.0749	-0.0745
CAM-PYKL-095	0.0084	-0.1788	-0.2574	-0.1404	-0.1986	0.2903	-0.0463	0.0088	-0.0767	-0.0777
CAM-PYKL-099	0.0088	-0.1807	-0.2536	-0.1426	-0.2001	0.2933	-0.0525	0.0214	-0.0858	-0.074
CAM-PYKL-100	0.008	-0.1784	-0.2524	-0.134	-0.1956	0.2812	-0.051	0.012	-0.0786	-0.0698
CAM-PYKL-104	0.0086	-0.182	-0.2594	-0.145	-0.2079	0.2903	-0.0423	0.0218	-0.0815	-0.0803
CAM-PYKL-106	0.0087	-0.1808	-0.256	-0.1336	-0.2041	0.2913	-0.0634	0.0074	-0.0853	-0.0707
CAM-PYKL-108	0.0082	-0.1811	-0.2583	-0.145	-0.2021	0.2955	-0.067	0.0117	-0.0744	-0.0733
CAM-PYKL-118	0.0079	-0.1813	-0.2556	-0.1358	-0.1975	0.2959	-0.0536	0.0097	-0.0737	-0.0678
CAM-PYKL-121	0.0085	-0.1809	-0.2612	-0.1542	-0.205	0.2922	-0.0455	0.0237	-0.0767	-0.0713
CAM-PYKL-123	0.0078	-0.1818	-0.2571	-0.1382	-0.206	0.2914	-0.0409	0.0165	-0.0779	-0.0776
CAM-PYKL-126	0.0083	-0.1873	-0.2486	-0.1852	-0.21	0.2934	-0.0367	0.0394	-0.0734	-0.0777
CAM-PYKL-140	0.0089	-0.1828	-0.2492	-0.1434	-0.199	0.2947	-0.0523	0.0209	-0.0868	-0.0722
CAM-PYKL-144	0.008	-0.1794	-0.2514	-0.1399	-0.2015	0.2906	-0.0399	0.0111	-0.0685	-0.0684
CAM-PYKL-150	0.0083	-0.182	-0.2525	-0.1444	-0.1997	0.2947	-0.0641	0.0118	-0.0788	-0.0739
CAM-PYKL-151	0.0085	-0.1819	-0.2575	-0.1336	-0.2034	0.2938	-0.0409	0.0129	-0.0769	-0.0747
